resource_id	content_pack_id	source_path	container_path	resource_type	format	encoding	newline	source_size	source_sha256	extractor_version	extracted_segment_count	scope_status	investigation_status	notes
RES-BB0542E21B5E2A00	BASE	scripts/ui/title_bar.gd	drepo.pck	script	gd	UTF-8	LF	2905	cbcf9aa78fbffc8e532736255146efc6dc5a8e30920d9a6529944ecd53c061b3	segments-v2	1	IN_SCOPE	EXTRACTABLE	
RES-89904A38070B1A66	BASE	scripts/ui/typewriter.gd	drepo.pck	script	gd	UTF-8	LF	831	a47342658f2dc3b9db8644b78a62f1379361aa07c85a9cf35a32743657aaf648	segments-v2	0	IN_SCOPE	EXTRACTABLE	
RES-F9A6DC88B55F20A4	BASE	scripts/ui/ui_kit.gd	drepo.pck	script	gd	UTF-8	LF	23523	c84849a481d129e55de8e863d2e45416cc32589a27b76a1bfc7d5390995f1cd7	segments-v2	9	IN_SCOPE	EXTRACTABLE	
RES-C511D19D63B67FD8	BASE	scripts/windows/area_map.gd	drepo.pck	script	gd	UTF-8	LF	4009	e19d521b7fab2370d6c9ff6c3ef81c6c43bdd1d15dda6cd82704b23029f3bf3e	segments-v2	1	IN_SCOPE	EXTRACTABLE	
RES-62DF9CB86C6AD1C1	BASE	scripts/windows/boot_screen.gd	drepo.pck	script	gd	UTF-8	LF	3060	35458391b0e4f04bfdc0eccd733dd686423b517458738edd3ce6ab39cb6505bf	segments-v2	8	IN_SCOPE	EXTRACTABLE	
RES-1D14A4BE40CA9105	BASE	scripts/windows/confirm_cutscene.gd	drepo.pck	script	gd	UTF-8	LF	11438	2a03ab9999e063b29ff6bae0644c1e6e9364d7b839519c203b431f41df5de1ff	segments-v2	7	IN_SCOPE	EXTRACTABLE	
RES-2AFA35DB7F6D703F	BASE	scripts/windows/death_report.gd	drepo.pck	script	gd	UTF-8	LF	15667	41d97fbce21d8be6d06941888d06555358a7ca8aa69d47e9edf4cc58f5e0afd1	segments-v2	17	IN_SCOPE	EXTRACTABLE	
RES-3F8A1C522D970A52	BASE	scripts/windows/directory_window.gd	drepo.pck	script	gd	UTF-8	LF	5804	f3790ab0f831d1531e207be1666be196e69176469cee2b2aaa449180aad171ea	segments-v2	5	IN_SCOPE	EXTRACTABLE	
RES-B4D43DDC19C49536	BASE	scripts/windows/ending_credits.gd	drepo.pck	script	gd	UTF-8	LF	1767	6bf568ebf8f7dc15541ed3beed5d309d5d38f096beeabe6a37edbac947ae0c21	segments-v2	13	IN_SCOPE	EXTRACTABLE	6 verbatim credit segments out of scope
RES-697E70F3A4228FE6	BASE	scripts/windows/ending_digest.gd	drepo.pck	script	gd	UTF-8	LF	2880	01b0e37789794a733911445a2044fbf36768a6206a0a0d96698bb56d124236e0	segments-v2	4	IN_SCOPE	EXTRACTABLE	
RES-14DC35954324F947	BASE	scripts/windows/intro_sequence.gd	drepo.pck	script	gd	UTF-8	LF	2679	90b781d602473c0e57bf107a4605f26d6db84e8374a28b17c3d584579d328eb1	segments-v2	4	IN_SCOPE	EXTRACTABLE	
RES-21A618107AA29A90	BASE	scripts/windows/log_viewer.gd	drepo.pck	script	gd	UTF-8	LF	13854	6380cf558225e0d290459f01703fc87281ed892b87c5847ae0769c6624f15b28	segments-v2	23	IN_SCOPE	EXTRACTABLE	
RES-F936A9CB9AE3D74B	BASE	scripts/windows/notepad.gd	drepo.pck	script	gd	UTF-8	LF	4519	d1590525a3c0343930a52f4ffff635c166cf687ec247abb106786b2f0e14c311	segments-v2	12	IN_SCOPE	EXTRACTABLE	
RES-253B1D20B62D81E1	BASE	scripts/windows/reference_window.gd	drepo.pck	script	gd	UTF-8	LF	5148	b7c81d47b75962a0361f3abe069641909a03b2d55834a5d953a2480fd1fb81f7	segments-v2	5	IN_SCOPE	EXTRACTABLE	
RES-A9E5CD9BFB312FF3	BASE	scripts/windows/title_screen.gd	drepo.pck	script	gd	UTF-8	LF	5153	d80b34f489aaacd747bc619833b0ca48ebda58414c95859a3afc4870144f0b79	segments-v2	8	IN_SCOPE	EXTRACTABLE	
RES-EE906CA5847B1B2A	BASE	story/logs/deaths.txt	drepo.pck	dialogue	story_blocks	UTF-8	LF	60049	88ac2a737f43aacf2d2078bd85ad74c8dcfc82f0b402e79c4423490f8c271cff	segments-v2	123	IN_SCOPE	EXTRACTABLE	
RES-6AA247BC9044805E	BASE	story/logs/messages.txt	drepo.pck	dialogue	story_blocks	UTF-8	LF	5781	f6b19ffd198e5472f2b6451d8b189f8a96bf29686557f175c529f19d34f61527	segments-v2	14	IN_SCOPE	EXTRACTABLE	
RES-45C0C0333B657479	BASE	story/logs/system.txt	drepo.pck	dialogue	story_blocks	UTF-8	LF	13861	943820b844b07cf66cc5b581c615b82341edd9b1aa97573d41c586070ba476fa	segments-v2	36	IN_SCOPE	EXTRACTABLE	
